symbol,min_samples_leaf,rmse,mae,r2
AAPL,5,0.00882 ± 0.00325,0.00727,-1.934
AAPL,10,0.00823 ± 0.00264,0.00668,-1.180
AAPL,20,0.00775 ± 0.00236,0.00619,-0.717
AAPL,50,0.00743 ± 0.00227,0.00582,-0.411
TSLA,5,0.01799 ± 0.00643,0.01470,-0.570
TSLA,10,0.01699 ± 0.00539,0.01371,-0.380
TSLA,20,0.01632 ± 0.00465,0.01295,-0.275
TSLA,50,0.01653 ± 0.00501,0.01301,-0.301
^GSPC,5,0.00470 ± 0.00224,0.00364,-0.558
^GSPC,10,0.00430 ± 0.00183,0.00331,-0.244
^GSPC,20,0.00413 ± 0.00174,0.00317,-0.118
^GSPC,50,0.00403 ± 0.00160,0.00305,-0.100
^IXIC,5,0.00575 ± 0.00180,0.00463,-0.492
^IXIC,10,0.00545 ± 0.00177,0.00433,-0.289
^IXIC,20,0.00531 ± 0.00178,0.00417,-0.188
^IXIC,50,0.00522 ± 0.00188,0.00405,-0.133
